Entity_ID,ORG_Entity,Matched_Category,Annotated_Category
119,Poltext,Other / Unclear,
122,PBSP,Other / Unclear,
123,KKE,Other / Unclear,
124,Pharmena SA,Other / Unclear,
125,Fundusz Leśny,Other / Unclear,
126,Poznańskie Centrum Superkomputerowo Sieciowe,Other / Unclear,
127,Polskiej Agencji Rozwoju Przedsiębiorczości,Other / Unclear,
128,WP6,Other / Unclear,
129,THRIVE RITE,Other / Unclear,
130,MPU,Other / Unclear,
131,Santander Bank Polska,Other / Unclear,
132,UŁa,Other / Unclear,
133,Onkologicznych Poradni Genetycznych,Other / Unclear,
135,Cafe Aleph,Other / Unclear,
136,Comirnaty,Other / Unclear,
137,Elektrowni Bełchatów,Other / Unclear,
138,PIT-RADWAR SA,Other / Unclear,
140,Petrochemii Płock,Other / Unclear,
141,BPN,Other / Unclear,
142,CBR PJATK,Other / Unclear,
144,TRITIA,Other / Unclear,
145,Nadleśnictwo Jabłonna,Other / Unclear,
146,Green Business Norway,Other / Unclear,
147,Hebei Semiconductor RI,Other / Unclear,
148,USP,Other / Unclear,
151,Gdańskiej Organizacji Turystycznej,Other / Unclear,
152,NOAA,Other / Unclear,
153,Greenvit,Other / Unclear,
154,ILiNM,Other / Unclear,
155,POIG,Other / Unclear,
157,Pfeifer & Langen,Other / Unclear,
158,Renishaw,Other / Unclear,
159,SciVal,Other / Unclear,
161,Zarządzie BKP,Other / Unclear,
164,MHP,Other / Unclear,
165,Jewish Book Council,Other / Unclear,
167,ToKnowPress,Other / Unclear,
169,Ossila,Other / Unclear,
174,Chor. Płuc,Other / Unclear,
175,Presserwis,Other / Unclear,
176,EIT FOOD,Other / Unclear,
179,AMBA,Other / Unclear,
180,Polish Academy of Sciences,Other / Unclear,
181,CDTChRz,Other / Unclear,
182,Klubie Kuźnica,Other / Unclear,
186,WHC,Other / Unclear,
187,Centrum Adaptacji Materiałów Dydaktycznych,Other / Unclear,
188,Komitet,Other / Unclear,
189,DEVO,Other / Unclear,
190,KODR,Other / Unclear,
193,Taxus SI,Other / Unclear,
196,Wawrzaszek Inżynieria Samochodów Specjalnych,Other / Unclear,
197,SEP,Other / Unclear,
198,Typhoon HIL,Other / Unclear,
199,LIK,Other / Unclear,
200,Agencji Ochrony „Gwarant,Other / Unclear,
201,F.U.H. BARTCOM,Other / Unclear,
202,KBPN,Other / Unclear,
203,OBM,Other / Unclear,
206,ICP Vegetation Programme Coordination Centre Centre for Ecology & Hydrology Bangor,Other / Unclear,
208,LinkedIn,Other / Unclear,
210,Airoptic,Other / Unclear,
212,Caritas,Other / Unclear,
213,WAITT Foundation,Other / Unclear,
214,ATTUNE,Other / Unclear,
218,IFCN,Other / Unclear,
219,ZRGR,Other / Unclear,
220,URK,Other / Unclear,
221,Inspekcji Transportu Drogowego,Other / Unclear,
222,CBP ALCOR,Other / Unclear,
225,IBA,Other / Unclear,
226,HPE Holsters Polska,Other / Unclear,
229,COVID,Other / Unclear,
231,Biurze Kryminalnym KGP,Other / Unclear,
232,Uniwersytecie Łódzkim,Other / Unclear,
233,ACC Advice Board,Other / Unclear,
237,ESA,Other / Unclear,
239,Orange,Other / Unclear,
243,CHILTERN,Other / Unclear,
245,Property Technologies Ltd,Other / Unclear,
247,Cluster of Excellence MERGE,Other / Unclear,
248,Klinki,Other / Unclear,
249,GSM,Other / Unclear,
250,Polska Organizacja Turystyczna,Other / Unclear,
251,intoDNA,Other / Unclear,
252,IBM,Other / Unclear,
253,ELTRAF,Other / Unclear,
254,JCR,Other / Unclear,
255,AIRSENSE Analytics GmbH,Other / Unclear,
256,Riela Polska,Other / Unclear,
257,BAK,Other / Unclear,
260,Optopol,Other / Unclear,
263,MagTop,Other / Unclear,
264,Eurovia,Other / Unclear,
265,NanoAnalytik,Other / Unclear,
266,IAB,Other / Unclear,
268,Siłami Zbrojnymi,Other / Unclear,
271,Dortmund Fire Brigade,Other / Unclear,
273,Agencji,Other / Unclear,
277,ZT UM,Other / Unclear,
278,ProME,Other / Unclear,
279,OTC,Other / Unclear,
283,Atmoterm SA,Other / Unclear,
285,Wylęgarni,Other / Unclear,
286,Bakalland SA,Other / Unclear,
287,MGśP,Other / Unclear,
288,SPiDR,Other / Unclear,
289,IWNiRZ-PIB,Other / Unclear,
292,Sieci Gospodarczej Regionów Trójmorza,Other / Unclear,
293,BLP KGP,Other / Unclear,
295,DARIAH-PL,Other / Unclear,
298,SPOIWO,Other / Unclear,
299,UMW,Other / Unclear,
300,BEUC,Other / Unclear,
301,WEiF,Other / Unclear,
302,Giresun Lisesi,Other / Unclear,
305,COST,Other / Unclear,
306,Tyler Technologies Inc.,Other / Unclear,
310,Ministry of Defence of Finland,Other / Unclear,
312,Służbę Geologiczną Finlandii,Other / Unclear,
314,CUS,Other / Unclear,
315,METRUM CRYOFLEX,Other / Unclear,
316,Parku,Other / Unclear,
319,Polskiej Agencji Prasowej,Other / Unclear,
320,SME,Other / Unclear,
321,Wataha.no,Other / Unclear,
323,Newseria,Other / Unclear,
324,Polskim Archiwum Danych Społecznych,Other / Unclear,
325,WISS Czech,Other / Unclear,
327,Łuszczycy,Other / Unclear,
328,SPZOZ,Other / Unclear,
329,RWTH Aachen,Other / Unclear,
330,Newsweek,Other / Unclear,
331,IGICHP,Other / Unclear,
333,OSI,Other / Unclear,
334,ASEAN,Other / Unclear,
335,ADAMEDEM,Other / Unclear,
337,WSU,Other / Unclear,
338,IHiT,Other / Unclear,
339,Centre for Jewish History,Other / Unclear,
341,FlexiOss,Other / Unclear,
342,Bioscientia,Other / Unclear,
343,EU-IBD,Other / Unclear,
344,PB WPSA,Other / Unclear,
345,NFOŚ,Other / Unclear,
346,Acta Poloniae Historica,Other / Unclear,
350,PEC,Other / Unclear,
351,OSP,Other / Unclear,
354,Centrum Rehabilitacji Pokowidowej,Other / Unclear,
357,PLOT,Other / Unclear,
359,PAIH,Other / Unclear,
360,ROT,Other / Unclear,
361,CCHS,Other / Unclear,
365,Toyota Boshoku,Other / Unclear,
368,IMPRESA,Other / Unclear,
369,INoB,Other / Unclear,
372,Kościelny Inspektor Ochrony Danych,Other / Unclear,
374,AM Bydgoszcz,Other / Unclear,
375,Health Service Executive,Other / Unclear,
377,WAT,Other / Unclear,
378,ASCO,Other / Unclear,
379,Rzecznika Praw Obywatelskich,Other / Unclear,
380,Lexicon,Other / Unclear,
381,NAAN Architekci,Other / Unclear,
383,Society for Hellenism & Philhellenism,Other / Unclear,
385,BiNoŻ,Other / Unclear,
386,Polskiej Bazy Genetycznej Ofiar Totalitaryzmów,Other / Unclear,
388,PKP Informatyka,Other / Unclear,
389,PTH,Other / Unclear,
390,Euronews,Other / Unclear,
392,Dolnośląskim Centrum Onkologii,Other / Unclear,
393,KIiB,Other / Unclear,
394,CCAMLR,Other / Unclear,
395,ZE PAK,Other / Unclear,
397,Global Terrestrial Network for Glaciers,Other / Unclear,
398,Jednoty Braci Czeskich,Other / Unclear,
399,PZW Szczecin,Other / Unclear,
401,GreenBack,Other / Unclear,
402,SEB-TEAM,Other / Unclear,
403,ILP UW,Other / Unclear,
404,HELCOM,Other / Unclear,
405,Gdańskich Wód,Other / Unclear,
406,Uniwersytecie Warszawskim,Other / Unclear,
407,MossLab UP,Other / Unclear,
409,Pałac Młodzieży,Other / Unclear,
410,PCT,Other / Unclear,
411,KEP,Other / Unclear,
412,WIL PK,Other / Unclear,
413,Intermag,Other / Unclear,
417,Wydz. BiHZ UPWr,Other / Unclear,
418,HIQA,Other / Unclear,
419,Łódzka Specjalna Strefa Ekonomiczna,Other / Unclear,
420,EFSUMB,Other / Unclear,
421,Novo Nordisk,Other / Unclear,
422,PlatMat,Other / Unclear,
423,WGGiOŚ AGH,Other / Unclear,
424,MKDiN,Other / Unclear,
425,Światowy Ruch Katolików na Rzecz Ochrony Środowiska,Other / Unclear,
426,EFSI,Other / Unclear,
427,Ambasada USA,Other / Unclear,
429,ZTM Poznań,Other / Unclear,
430,FELASA,Other / Unclear,
431,DCT,Other / Unclear,
433,Europejską Agencją Kosmiczną,Other / Unclear,
434,Alzheimer Europe,Other / Unclear,
435,IBL,Other / Unclear,
436,RODM,Other / Unclear,
437,Avio Aero,Other / Unclear,
438,PPN-T,Other / Unclear,
441,USPTO,Other / Unclear,
442,UHS SWPS School of Form,Other / Unclear,
443,Lego Education,Other / Unclear,
444,Centralny Bank Danych Hydrogeologicznych,Other / Unclear,
445,ZKP,Other / Unclear,
446,IFPiLM,Other / Unclear,
449,British Library,Other / Unclear,
450,Agencja ds. Kontroli Chorób,Other / Unclear,
451,Nano Analytik GmbH,Other / Unclear,
452,WPiA,Other / Unclear,
453,Board and Dice,Other / Unclear,
455,Hiromura Design Office,Other / Unclear,
456,IPUO,Other / Unclear,
458,Astra Zeneka,Other / Unclear,
459,EUMETNET,Other / Unclear,
460,CWOM,Other / Unclear,
463,MEiN,Other / Unclear,
468,Archiwum im. Karla Dedeciusa,Other / Unclear,
471,RARR,Other / Unclear,
472,Centrum Formacji Misyjnej,Other / Unclear,
475,RLDS,Other / Unclear,
476,E-TRONIX,Other / Unclear,
477,Zakładu Fitochemii,Other / Unclear,
478,BfS,Other / Unclear,
479,KSC,Other / Unclear,
481,Jewish Review of Books,Other / Unclear,
482,Archidiecezji Katowickiej,Other / Unclear,
484,Nature Communications,Other / Unclear,
485,ITG KOMAG,Other / Unclear,
486,Car Cosmetics,Other / Unclear,
488,Info-GLOBAL,Other / Unclear,
489,Biura Rzecznika Praw Obywatelskich,Other / Unclear,
490,Organizacji Współpracy Gospodarczej i Rozwoju,Other / Unclear,
492,CCKP,Other / Unclear,
496,Nowy Styl,Other / Unclear,
497,Facebook,Other / Unclear,
499,Wyszehradzkiej,Other / Unclear,
501,MCZK,Other / Unclear,
502,CEDIME,Other / Unclear,
503,SeFF,Other / Unclear,
504,Timken Colmar,Other / Unclear,
505,WIORiN,Other / Unclear,
507,COBA,Other / Unclear,
509,ELA,Other / Unclear,
510,MPEC,Other / Unclear,
512,Służby Więziennej,Other / Unclear,
514,Balton Polska,Other / Unclear,
515,Błękitnej Armii,Other / Unclear,
516,CBOS,Other / Unclear,
517,OUOW,Other / Unclear,
518,AirSilesia,Other / Unclear,
520,Carl Zeiss,Other / Unclear,
523,UTP,Other / Unclear,
525,Forum Dialogu,Other / Unclear,
526,EDQM,Other / Unclear,
527,Hatrans,Other / Unclear,
528,KBE,Other / Unclear,
529,WLINOZ,Other / Unclear,
530,PUM,Other / Unclear,
531,Centrum Steinhausa,Other / Unclear,
532,IL Ponte Fattoria Sociale,Other / Unclear,
535,Polskiego Związku Łowieckiego,Other / Unclear,
537,IFP UWr,Other / Unclear,
541,METRO,Other / Unclear,
542,KitchenLab4Kids.eu,Other / Unclear,
543,OzN,Other / Unclear,
544,CLRTAP,Other / Unclear,
545,Inspekcji Sanitarnej,Other / Unclear,
546,Apeiron Synthesis,Other / Unclear,
547,Europejską Agencję Kosmiczną,Other / Unclear,
549,UNHCR,Other / Unclear,
550,Granada,Other / Unclear,
551,Frederick Chopin Foundation,Other / Unclear,
553,Nano Prime,Other / Unclear,
557,UPMC,Other / Unclear,
558,PCz,Other / Unclear,
559,AK NOVA,Other / Unclear,
560,"Fundacją ""I am kids",Other / Unclear,
568,ESK Wrocław,Other / Unclear,
569,Shandong Academy of Agriculture Sciences,Other / Unclear,
570,IH UMCS,Other / Unclear,
571,MEG,Other / Unclear,
572,Roty Rzymskiej,Other / Unclear,
573,Pol. Śl.,Other / Unclear,
577,Shimadzu,Other / Unclear,
578,Przystań Wodna Wypożyczalnia,Other / Unclear,
579,UŻŚ,Other / Unclear,
580,JRC,Other / Unclear,
581,IH UWr,Other / Unclear,
582,TUP,Other / Unclear,
583,Scientific Reports,Other / Unclear,
585,PKN ORLEN SA,Other / Unclear,
586,LDMZ,Other / Unclear,
587,BWA Krosno,Other / Unclear,
588,UTK,Other / Unclear,
589,ZUOP,Other / Unclear,
590,AMW,Other / Unclear,
594,Damen Engineering,Other / Unclear,
596,UOP,Other / Unclear,
602,KK Electronic,Other / Unclear,
603,Fidetronik SA,Other / Unclear,
604,GZWM Grodków,Other / Unclear,
606,London School of Hygiene & Tropical Medicine,Other / Unclear,
608,Gemini,Other / Unclear,
609,Ge Aviation Systems,Other / Unclear,
610,Biuro Instytucji Demokratycznych i Praw Człowieka,Other / Unclear,
611,NAXOS of America,Other / Unclear,
612,Power Electronics Studenci UZ,Other / Unclear,
613,WSB,Other / Unclear,
614,Centrum Duchowości pw. św. Ignacego Loyoli,Other / Unclear,
620,PSH,Other / Unclear,
621,BIOTOP,Other / Unclear,
622,Polskiego Związku Pracodawców Budownictwa,Other / Unclear,
623,Międzyuniwersyteckiego Centrum Informatyzacji,Other / Unclear,
624,ANSES,Other / Unclear,
625,Type Directors Club,Other / Unclear,
627,PSP,Other / Unclear,
628,WNH,Other / Unclear,
633,Zgromadzenia Ogólnego ONZ,Other / Unclear,
634,ARSAP,Other / Unclear,
636,KPODR,Other / Unclear,
637,Magee-Womens Hospital,Other / Unclear,
638,MNK,Other / Unclear,
639,TEDx Talks,Other / Unclear,
640,Communications of the ACM,Other / Unclear,
643,Nanomaterials,Other / Unclear,
647,PIO,Other / Unclear,
648,IBDiM,Other / Unclear,
649,Ośrodek ds. IMO,Other / Unclear,
654,PSB,Other / Unclear,
656,CTJ,Other / Unclear,
659,Bertin Instruments,Other / Unclear,
661,EMA,Other / Unclear,
662,Trans Serwis,Other / Unclear,
666,Polska Agencja Kosmiczna,Other / Unclear,
667,GBCC,Other / Unclear,
668,WTO,Other / Unclear,
670,Balinta,Other / Unclear,
672,STRABAG,Other / Unclear,
675,Financial Times,Other / Unclear,
676,GZŻ,Other / Unclear,
678,Deutsches Kulturforum Östliches Europa,Other / Unclear,
680,Bundestagu,Other / Unclear,
681,PPF HASCO-LEK SA,Other / Unclear,
683,Sanofi,Other / Unclear,
684,Zarządu Planowania i Programowania Rozwoju Sił Zbrojnych,Other / Unclear,
686,WBiHZ,Other / Unclear,
688,LWT,Other / Unclear,
693,SzPZ,Other / Unclear,
694,SG WP,Other / Unclear,
695,UPWr,Other / Unclear,
696,UMK,Other / Unclear,
697,Paktu Północnoatlantyckiego,Other / Unclear,
698,Opty,Other / Unclear,
699,Gimnazjum,Other / Unclear,
700,Country Club Opole,Other / Unclear,
701,Global Glacier Change Bulletin,Other / Unclear,
703,EUSMI,Other / Unclear,
704,PHU Dytrych,Other / Unclear,
705,Miejski Browar,Other / Unclear,
706,WUM,Other / Unclear,
707,SeQure SpA,Other / Unclear,
708,CJP,Other / Unclear,
710,CTJ PWr,Other / Unclear,
712,Metaphor,Other / Unclear,
713,INiG-PIB,Other / Unclear,
714,ISP UMCS,Other / Unclear,
715,Hasco-lek,Other / Unclear,
716,Agencją REA,Other / Unclear,
719,UKW,Other / Unclear,
720,Centrum Metody Krakowskiej,Other / Unclear,
721,SKW,Other / Unclear,
722,Weegree,Other / Unclear,
723,Światło,Other / Unclear,
724,Ambasada Izraela,Other / Unclear,
725,Błękitny Patrol,Other / Unclear,
726,INP,Other / Unclear,
728,POLCOM,Other / Unclear,
730,PIORiN,Other / Unclear,
731,KWK Budryk,Other / Unclear,
732,SM Bieluch,Other / Unclear,
735,RCIA,Other / Unclear,
737,INMEL,Other / Unclear,
739,ESM,Other / Unclear,
742,EWSPA,Other / Unclear,
744,IMSAT,Other / Unclear,
745,ASF,Other / Unclear,
746,Odział Gdańsk,Other / Unclear,
747,PABS,Other / Unclear,
748,Lumel,Other / Unclear,
749,Kościelnym Inspektorem Ochrony Danych,Other / Unclear,
752,24GIS,Other / Unclear,
755,Fundacją Kirklanda,Other / Unclear,
757,UWSR,Other / Unclear,
758,NAWA,Other / Unclear,
759,National Geographic,Other / Unclear,
760,NBT,Other / Unclear,
761,TEGOVA,Other / Unclear,
762,Centrum Teledetekcji IGiK,Other / Unclear,
763,NBP,Other / Unclear,
764,MAiP,Other / Unclear,
765,Applica.ai,Other / Unclear,
770,ARLANXEO,Other / Unclear,
771,Instytucie Literatury KUL,Other / Unclear,
772,EduVRLab,Other / Unclear,
773,Science Channel,Other / Unclear,
774,IMDC,Other / Unclear,
775,Szybka Kolej Miejska,Other / Unclear,
776,Vincentz Network,Other / Unclear,
777,KNSiH UMP,Other / Unclear,
778,ICHEM,Other / Unclear,
779,AWSB,Other / Unclear,
782,Poznańskiej Lokalnej Organizacji Turystycznej,Other / Unclear,
783,Energa Operator,Other / Unclear,
784,MIVA Polska,Other / Unclear,
785,FDLI,Other / Unclear,
786,DARIAH ERIC,Other / Unclear,
787,RDOŚ,Other / Unclear,
788,Zespołu Badawczego,Other / Unclear,
791,Ignacjańskie Centrum Formacji Duchowej,Other / Unclear,
792,IWRD,Other / Unclear,
794,AQUA PARTNER,Other / Unclear,
795,SUBMERGED,Other / Unclear,
796,ZT Kruszwica,Other / Unclear,
797,Headquarters Supreme Allied Commander Transformation,Other / Unclear,
799,Interia,Other / Unclear,
800,UNICEF,Other / Unclear,
801,Samsung,Other / Unclear,
802,Ambasady Francji,Other / Unclear,
804,EMES,Other / Unclear,
805,BWA,Other / Unclear,
806,SZOU,Other / Unclear,
807,In Your Pocket City Guides,Other / Unclear,
808,B+R,Other / Unclear,
809,GDDKiA,Other / Unclear,
810,Poradni Hipercholesterolemii Rodzinnej,Other / Unclear,
811,Banku Światowego,Other / Unclear,
813,KOWR,Other / Unclear,
816,RJK,Other / Unclear,
817,Advisa Unternehmensberatung,Other / Unclear,
818,ECDC,Other / Unclear,
819,IETU,Other / Unclear,
820,KCHR,Other / Unclear,
821,IH AFiB V,Other / Unclear,
822,Nicast,Other / Unclear,
823,Dutch National Plant Protection Organization,Other / Unclear,
824,Google,Other / Unclear,
825,Funduszu Rozwiązywania Problemów Hazardowych,Other / Unclear,
830,AOS,Other / Unclear,
832,MPRiPS,Other / Unclear,
833,Falochron,Other / Unclear,
835,The Sixteen Choir,Other / Unclear,
836,NIL,Other / Unclear,
840,TPST,Other / Unclear,
841,Trip Advisor,Other / Unclear,
842,Lecha Poznań,Other / Unclear,
843,ZDPiL,Other / Unclear,
845,Youth Combined Authority,Other / Unclear,
846,Zakładach Farmaceutycznych Polpharma SA,Other / Unclear,
847,JANPA,Other / Unclear,
848,ERGA,Other / Unclear,
849,CBK,Other / Unclear,
850,IS-PIB,Other / Unclear,
852,EUROCAT,Other / Unclear,
853,CCB,Other / Unclear,
854,Centrum Operacji Lądowych,Other / Unclear,
855,Kujawsko-Pomorskiej Platformie Edukacyjnej,Other / Unclear,
860,Atos,Other / Unclear,
861,OMCL,Other / Unclear,
862,Centrum Geozagrożeń PIG-PIB,Other / Unclear,
863,PMR,Other / Unclear,
866,SKK,Other / Unclear,
867,Asseco Poland,Other / Unclear,
869,iPAAC,Other / Unclear,
871,Polski Związek Pracodawców Budownictwa,Other / Unclear,
872,Organizację Narodów Zjednoczonych,Other / Unclear,
873,ISW-TBE,Other / Unclear,
876,EWTN,Other / Unclear,
877,IBE,Other / Unclear,
880,Zakładu Bromatologii UMB,Other / Unclear,
885,TGH,Other / Unclear,
887,Big-Bandu UZ,Other / Unclear,
894,CTA,Other / Unclear,
897,CHIC,Other / Unclear,
898,"Departamentu Biznesu, Energetyki i Strategii Przemysłowej UK",Other / Unclear,
899,PMOD Technologies,Other / Unclear,
900,IUNG-PIB,Other / Unclear,
903,WNG UŁ,Other / Unclear,
906,ENRESSH,Other / Unclear,
907,MIIW,Other / Unclear,
908,ITeo,Other / Unclear,
911,Poradni Psychologiczna CR,Other / Unclear,
912,VR TierOne,Other / Unclear,
913,Zakładu Językoznawstwa Stosowanego,Other / Unclear,
914,WSIZ,Other / Unclear,
915,Bundestag,Other / Unclear,
916,A&A Biotechnology s.c.,Other / Unclear,
917,PSLBiW,Other / Unclear,
918,OWPSA,Other / Unclear,
919,ZM WIERZEJKI,Other / Unclear,
920,FAIR,Other / Unclear,
921,NSA,Other / Unclear,
923,Angionica,Other / Unclear,
924,NECP,Other / Unclear,
925,PoliTa,Other / Unclear,
929,AWL,Other / Unclear,
931,Totalizator Sportowy,Other / Unclear,
933,PTŚ,Other / Unclear,
934,Służba Ochrony Państwa,Other / Unclear,
936,Cyberteam,Other / Unclear,
937,F.H.U. Czamara,Other / Unclear,
938,Humacyte,Other / Unclear,
939,SM UG,Other / Unclear,
941,PWC,Other / Unclear,
943,Organizacji Narodów Zjednoczonych,Other / Unclear,
944,SNB KUL,Other / Unclear,
945,PLM,Other / Unclear,
946,Inspekcją Sanitarną,Other / Unclear,
947,UPH,Other / Unclear,
948,GUGIK,Other / Unclear,
949,SPE,Other / Unclear,
950,NKMZ,Other / Unclear,
951,EMCDDA,Other / Unclear,
953,Nethone,Other / Unclear,
954,Montis Capital,Other / Unclear,
956,EACD,Other / Unclear,
958,Nokii,Other / Unclear,
959,IO-PIB,Other / Unclear,
962,MBM,Other / Unclear,
966,Samsung Electronics,Other / Unclear,
967,MonGOS,Other / Unclear,
968,Konsorcjum SST,Other / Unclear,
970,GPW,Other / Unclear,
974,MIRA Ltd,Other / Unclear,
978,WIML,Other / Unclear,
980,WFPW,Other / Unclear,
981,Mastergroove Studios,Other / Unclear,
982,Cyklotren,Other / Unclear,
983,Streamsoft,Other / Unclear,
986,Policyjne Zespoły ds. Przestępstw Niewykrytych,Other / Unclear,
987,IHS UŁ,Other / Unclear,
988,COPERNICUS,Other / Unclear,
990,Planetarium,Other / Unclear,
994,Rolf Hartge GmbH,Other / Unclear,
995,OZAS-ESAB,Other / Unclear,
996,R-SGD Przybroda,Other / Unclear,
997,IRF,Other / Unclear,
998,PZPB,Other / Unclear,
999,Cantoni,Other / Unclear,
1000,SMP,Other / Unclear,
1001,ACT,Other / Unclear,
1002,FAMUR,Other / Unclear,
1003,CEZAMAT,Other / Unclear,
1007,KTA,Other / Unclear,
1008,Polskie Sieci Elektroenergetyczne,Other / Unclear,
1012,RPN,Other / Unclear,
1014,PIWet-PIB,Other / Unclear,
1015,OSUL,Other / Unclear,
1016,INSPIRE,Other / Unclear,
1017,Komitetu Organizacyjnego,Other / Unclear,
1018,SEW,Other / Unclear,
1019,Spaw-Projekt,Other / Unclear,
1020,APEIRON,Other / Unclear,
1022,SWIBŻ,Other / Unclear,
1023,SDN,Other / Unclear,
1024,AEiE,Other / Unclear,
1025,ITWL,Other / Unclear,
1028,NMG SA,Other / Unclear,
1029,NOTI,Other / Unclear,
1030,Deterrence and Assurance Academic Alliance,Other / Unclear,
1031,MEBLO-GLASS,Other / Unclear,
1033,Generalny Inspektor Ochrony Danych Osobowych,Other / Unclear,
1034,InPhoTech,Other / Unclear,
1037,SMART TECHNOLOGIES,Other / Unclear,
1038,Bank Danych Lokalnych,Other / Unclear,
1039,EduOSP,Other / Unclear,
1040,Ośrodka Terapii Fagowej,Other / Unclear,
1044,BMK,Other / Unclear,
1045,PCB,Other / Unclear,
1046,Polską Agencję Rozwoju Przedsiębiorczości,Other / Unclear,
1047,Ośrodków Pomocy Społecznej,Other / Unclear,
1048,PES Women,Other / Unclear,
1051,GIW,Other / Unclear,
1052,ZPSU,Other / Unclear,
1053,Tygodnik Powszechny,Other / Unclear,
1054,Medtronica,Other / Unclear,
1056,Kole Dydaktyków MaFiI,Other / Unclear,
1058,Songlines,Other / Unclear,
1059,Gospodarstwa Doświadczalne,Other / Unclear,
1060,WAA,Other / Unclear,
1061,TSKN,Other / Unclear,
1064,PlantiCo Zielonki,Other / Unclear,
1068,CNT UKSW,Other / Unclear,
1069,KK NSZZ „Solidarność,Other / Unclear,
1070,PGE Dystrybucja SA,Other / Unclear,
1071,POLIN MHZP,Other / Unclear,
1072,Adamed,Other / Unclear,
1073,Holsters HPE-Polska,Other / Unclear,
1075,Stiftung Ettersberg,Other / Unclear,
1077,ONKOMA,Other / Unclear,
1078,Purella,Other / Unclear,
1079,IBE AFiB,Other / Unclear,
1080,TopGaN,Other / Unclear,
1081,ESRA,Other / Unclear,
1082,DKMS,Other / Unclear,
1083,Centrum Telemonitoringu,Other / Unclear,
1084,DGH,Other / Unclear,
1085,EUNIC,Other / Unclear,
1086,RSW,Other / Unclear,
1087,CDZWiP,Other / Unclear,
1089,Bergens Tidende,Other / Unclear,
1090,Uniwersytecie Pwani,Other / Unclear,
1094,Tommorow,Other / Unclear,
1095,Parkiety Jabłoński,Other / Unclear,
1097,Leśny Bank Genów,Other / Unclear,
1099,IIT SGGW,Other / Unclear,
1100,Gdański Ośrodek Sportu,Other / Unclear,
1101,Unity Systems,Other / Unclear,
