ORG_Entity,Lemma_Entity,Suspicious,Lemma_Cleaned,Matched_Category
E-RIHS,e - rihs,True,e - rihs,International Organization / EU
KSiEO,ksieo,False,ksieo,Other / Unclear
Ordo Carmelitarum Discalceatorum,ordo carmelitarum discalceatorum,False,ordo carmelitarum discalceatorum,Religious Organization
KGHM,kghm,False,kghm,Company / Business
Polskim Związku Łowieckim,polski związek łowiecki,False,polski związek łowiecki,NGO / Association / Foundation
CPE,cep,False,cep,Other / Unclear
Fundacją Azja-Pacyfik,fundacją azja - pacyfik,False,fundacją azja - pacyfik,NGO / Association / Foundation
Centrum Rzeźby Polskiej,centrum rzeźba polski,False,centrum rzeźba polski,Cultural Institution / Arts
CPP Poland sp. z o.o.,ca poland sa . z ograniczona_odpowiedzialność .,True,ca poland s.a. z o.o.,Company / Business
YHE SA,yhe sa,False,yhe sa,Company / Business
Bonimed,bonimed,False,bonimed,Health / Hospitals / Medical
UMCS Lublin,umcs lublin,False,umcs lublin,Other / Unclear
Scopus,scopus,False,scopus,Cultural Institution / Arts
Etorki S.L.,etorki scl .,False,etorki scl .,Company / Business
CNH,cnoty,False,cnoty,Company / Business
PNBS,podprat,False,podprat,Other / Unclear
Europejskie Partnerstwo na rzecz Walki z Rakiem,europejski partnerstwo na rzecz walka z rak,False,europejski partnerstwo na rzecz walka z rak,International Organization / EU
Comarch,comarch,False,comarch,Company / Business
Międzynarodowego Kongresu Ekumenicznego,międzynarodowy kongres ekumeniczny,False,międzynarodowy kongres ekumeniczny,Government / Public Administration
Uniwersytecie Trzeciego Wieku,uniwersytet trzeci wiek,False,uniwersytet trzeci wiek,Other / Unclear
Strabag,strabag,False,strabag,Company / Business
The State Planting Service,the state planting service,False,the state planting service,Government / Public Administration
KNiME,knime,False,knime,Company / Business
Photon,photon,False,photon,Company / Business
OPMiM,opmim,False,opmim,Health / Hospitals / Medical
UNEP,unep,False,unep,International Organization / EU
GSMU,gim,False,gim,Other / Unclear
MGMiŚ,mgmiś,False,mgmiś,Government / Public Administration
Galwamet Konin,galwamet konin,False,galwamet konin,Company / Business
Radio Zachód,radio zachód,False,radio zachód,Media / Publishing
Carrefour,carrefour,False,carrefour,Company / Business
AMZ Kutno,amz kutno,False,amz kutno,Company / Business
KIC Raw Materials,kic raw materials,False,kic raw materials,International Organization / EU
Phoenix,phoenix,False,phoenix,Other / Unclear
Funduszu Wyszehradzkiego,fundusz wyszehradzki,False,fundusz wyszehradzki,Government / Public Administration
IAG,iag,False,iag,Company / Business
WRO,wro,False,wro,Cultural Institution / Arts
Telewizja Polska,telewizja polski,False,telewizja polski,Media / Publishing
Asahi,asahi,False,asahi,Company / Business
ESSR,essr,False,essr,Health / Hospitals / Medical
Usługi Ekologiczne Alojzy Przemyski,usługa ekologiczny alojzy przemyski,False,usługa ekologiczny alojzy przemyski,Company / Business
Unię Europejską,unia europejską,False,unia europejską,International Organization / EU
Europejska Platforma Leśna,europejski platforma leśno,False,europejski platforma leśno,International Organization / EU
AMED,amed,False,amed,Health / Hospitals / Medical
Asseco Poland S.A.,asseco poland s.a .,False,asseco poland s.a.,Company / Business
Polonii harbińskiej,polonii harbińska,False,polonii harbińska,Other / Unclear
National Public Radio,national public radio,False,national public radio,Media / Publishing
Poltext,poltext,False,poltext,Media / Publishing
Ministerstwa Spraw Wewnętrznych i Administracji,ministerstwo sprawa wewnętrzny i administracja,False,ministerstwo sprawa wewnętrzny i administracja,Government / Public Administration
Krajowe Biuro ds. Przeciwdziałania Narkomanii,krajowy biuro do_spraw . przeciwdziałać narkomania,True,krajowy biuro ds. przeciwdziałać narkomania,Government / Public Administration
PBSP,podpiat,False,podpiat,Other / Unclear
KKE,kke,False,kke,NGO / Association / Foundation
Pharmena SA,pharmena sa,False,pharmena sa,Company / Business
Fundusz Leśny,fundusz leśny,False,fundusz leśny,NGO / Association / Foundation
Poznańskie Centrum Superkomputerowo Sieciowe,poznański centrum superkomputerowo sieciowe,False,poznański centrum superkomputerowo sieciowe,Government / Public Administration
Polskiej Agencji Rozwoju Przedsiębiorczości,polski agencja rozwój przedsiębiorczość,False,polski agencja rozwój przedsiębiorczość,Government / Public Administration
WP6,wp6,False,wp6,Other / Unclear
THRIVE RITE,thrive rite,False,thrive rite,Company / Business
MPU,mie,False,mie,Company / Business
Santander Bank Polska,santander bank polski,False,santander bank polski,Company / Business
UŁa,uło,False,uło,Other / Unclear
Onkologicznych Poradni Genetycznych,onkologiczny poradnia genetyczny,False,onkologiczny poradnia genetyczny,Health / Hospitals / Medical
Gminnej Rady Działalności Pożytku Publicznego,gminny rada działalność pożytku publiczny,False,gminny rada działalność pożytku publiczny,Government / Public Administration
Cafe Aleph,cafe aleph,False,cafe aleph,Other / Unclear
Comirnaty,comirnaty,False,comirnaty,Other / Unclear
Elektrowni Bełchatów,elektrownia bełchat,False,elektrownia bełchat,Company / Business
PIT-RADWAR SA,pit - radwar sa,False,pit - radwar sa,Military / Defense / Security
Rybnickiej Rady Kobiet,rybnisko rada kobieta,False,rybnisko rada kobieta,Government / Public Administration
Petrochemii Płock,petrochemia płock,False,petrochemia płock,Company / Business
BPN,bo_,True,bo_,Government / Public Administration
CBR PJATK,cod_znawionit pjatk,True,cod_znawionit pjatk,Other / Unclear
Rady ds. Polityki Senioralnej,rada do_spraw . polityka senioralna,True,rada ds. polityka senioralna,Government / Public Administration
TRITIA,tritia,False,tritia,International Organization / EU
Nadleśnictwo Jabłonna,nadleśnictwo jabłonna,False,nadleśnictwo jabłonna,Government / Public Administration
Green Business Norway,green business norway,False,green business norway,NGO / Association / Foundation
Hebei Semiconductor RI,hebej semiconductor ri,False,hebej semiconductor ri,Company / Business
USP,ut_cytupa,True,ut_cytupa,Other / Unclear
Sejmiku Województwa Lubelskiego,sejmik województwo lubelski,False,sejmik województwo lubelski,Government / Public Administration
ZUGIL S.A.,zugil s.a .,False,zugil s.a.,Company / Business
Gdańskiej Organizacji Turystycznej,gdański organizacja turystyczna,False,gdański organizacja turystyczna,Government / Public Administration
NOAA,noaa,False,noaa,Government / Public Administration
Greenvit,greenvit,False,greenvit,Company / Business
ILiNM,ilinm,False,ilinm,Other / Unclear
POIG,poig,False,poig,Government / Public Administration
Komitetu ds. Dialogu z Judaizmem Rady Episkopatu Polski,komitet do_spraw . dialog z judaizmem rada episkopat polski,True,komitet ds. dialog z judaizmem rada episkopat polski,Government / Public Administration
Pfeifer & Langen,pfeifer & langen,False,pfeifer & langen,Company / Business
Renishaw,renishaw,False,renishaw,Company / Business
SciVal,scival,False,scival,Company / Business
Sąd Okręgowy w Warszawie,sąd okręgowy w warszawie,False,sąd okręgowy w warszawie,Government / Public Administration
Zarządzie BKP,zarząd biedzytyka,False,zarząd biedzytyka,Other / Unclear
Konwencji Karpackiej,konwencja karpackie,False,konwencja karpackie,Government / Public Administration
Ministerstwu Środowiska,ministerstwo środowisko,False,ministerstwo środowisko,Government / Public Administration
MHP,mila,False,mila,Company / Business
Jewish Book Council,jewisho book council,False,jewisho book council,Cultural Institution / Arts
Polskiego Towarzystwa Penitencjarnego,polski towarzystwo penitencjarnygo,False,polski towarzystwo penitencjarnygo,NGO / Association / Foundation
ToKnowPress,toknowpress,False,toknowpress,Media / Publishing
Rada ds. Handlu Towarami,rada do_spraw . handel towarami,True,rada ds. handel towarami,Government / Public Administration
Ossila,ossila,False,ossila,Company / Business
Fundacja im. Marii Fołtyn,fundacja on . maria fołtyn,False,fundacja on . maria fołtyn,NGO / Association / Foundation
Biura Rozwoju Miasta Rzeszowa,biuro rozwój miasto rzeszowa,False,biuro rozwój miasto rzeszowa,Government / Public Administration
Międzynarodowym Centrum Sprężenia Magnetyzmu i Nadprzewodnictwa z Materią Topologiczną,międzynarodowy centrum sprężenie magnetyzm i nadprzewodnictwo z materia topologiczna,False,międzynarodowy centrum sprężenie magnetyzm i nadprzewodnictwo z materia topologiczna,Government / Public Administration
Ministerstwu Spraw Wewnętrznych i Administracji,ministerstwo sprawa wewnętrzny i administracja,False,ministerstwo sprawa wewnętrzny i administracja,Government / Public Administration
Chor. Płuc,chor . płuco,False,chor . płuco,Other / Unclear
Presserwis,presserwis,False,presserwis,Media / Publishing
EIT FOOD,eit food,False,eit food,International Organization / EU
FCBR ML System S.A.,fobrzyc mililitr system s.a .,False,fobrzyc mililitr system s.a.,Company / Business
Kościele,kościół,False,kościół,Religious Organization
AMBA,amba,False,amba,Other / Unclear
Polish Academy of Sciences,polish academy of sciences,False,polish academy of sciences,Other / Unclear
CDTChRz,cdtchrz,False,cdtchrz,Health / Hospitals / Medical
Klubie Kuźnica,klub kuźnica,False,klub kuźnica,NGO / Association / Foundation
CODART International Network of Curators of Dutch & Flemish Art,codart international network of curators of dutch & flemish artykuł,False,codart international network of curators of dutch & flemish artykuł,International Organization / EU
Urzędu,urząd,False,urząd,Government / Public Administration
Synodu Kościoła,synod kościół,False,synod kościół,Religious Organization
WHC,whc,False,whc,Other / Unclear
Centrum Adaptacji Materiałów Dydaktycznych,centrum adaptacja materiał dydaktyczny,False,centrum adaptacja materiał dydaktyczny,Government / Public Administration
Komitet,komitet,False,komitet,Other / Unclear
DEVO,devo,False,devo,Company / Business
KODR,kodr,False,kodr,Other / Unclear
Szkoła Główna Służby Pożarniczej,szkoła główna służba pożarniczy,False,szkoła główna służba pożarniczy,Education (non-university)
TV Republika,te_jeta_bowy republika,True,TV republika,Media / Publishing
Taxus SI,taxus si,False,taxus si,Company / Business
Polskie Radio Dzieciom,polski radio dziecko,False,polski radio dziecko,Media / Publishing
Parlamentu Ukraińskiego,parlament ukraiński,False,parlament ukraiński,Government / Public Administration
Wawrzaszek Inżynieria Samochodów Specjalnych,wawrzaszek inżynieria samochód specjalny,False,wawrzaszek inżynieria samochód specjalny,Company / Business
SEP,sep,False,sep,NGO / Association / Foundation
Typhoon HIL,typhoon hil,False,typhoon hil,Company / Business
LIK,lik,False,lik,Other / Unclear
Agencji Ochrony „Gwarant,agencja ochrona „ gwarant,False,agencja ochrona „ gwarant,Government / Public Administration
F.U.H. BARTCOM,fou . bartcom,False,fou . bartcom,Company / Business
KBPN,kopod,False,kopod,Government / Public Administration
OBM,obm,False,obm,Other / Unclear
Komisji Infrastruktury,komisja infrastruktura,False,komisja infrastruktura,Government / Public Administration
Zespołu Ekspertów Międzynarodowych,zespół ekspert międzynarodowy,False,zespół ekspert międzynarodowy,Government / Public Administration
ICP Vegetation Programme Coordination Centre Centre for Ecology & Hydrology Bangor,intym_podobne vegetation programme coordination centre centre forówna ecológ & hydrology bangor,True,intym_podobne vegetation programme coordination centre centre forówna ecológ & hydrology bangor,International Organization / EU
METALURGIA S.A.,metalurgia s.a .,False,metalurgia s.a.,Company / Business
LinkedIn,linkedin,False,linkedin,Company / Business
Basell Orlen Polyolefins Sp. z o.o.,basell orlen polyolefins sa . z ograniczona_odpowiedzialność .,True,basell orlen polyolefins s.a. z o.o.,Company / Business
Airoptic,airoptic,False,airoptic,Health / Hospitals / Medical
Mazowieckim Urzędem Wojewódzkim,mazowiecki urząd wojewódzki,False,mazowiecki urząd wojewódzki,Government / Public Administration
Caritas,caritas,False,caritas,NGO / Association / Foundation
WAITT Foundation,waitt foundation,False,waitt foundation,NGO / Association / Foundation
ATTUNE,attune,False,attune,Company / Business
Grupy Nieformalnej,grupa nieformalna,False,grupa nieformalna,Company / Business
Niemiecką Radę Wzornictwa,niemiecki rada wzornictwo,False,niemiecki rada wzornictwo,Government / Public Administration
Komisji ds. NDS,komisja do_spraw . na_tymstypiole,True,komisja ds. na_tymstypiole,Government / Public Administration
IFCN,iścnppodanin,False,iścnppodanin,International Organization / EU
ZRGR,zr_ppuc,True,zr_ppuc,Government / Public Administration
URK,ur_cycpapiador,True,ur_cycpapiador,Other / Unclear
Inspekcji Transportu Drogowego,inspekcja transport drogowy,False,inspekcja transport drogowy,Government / Public Administration
CBP ALCOR,co_kt_pit alcor,True,co_kt_pit alcor,Company / Business
TVP,to_sysapipiporoby,True,TVP,Media / Publishing
PLK S.A.,plk s.a .,True,plk s.a.,Company / Business
IBA,ib,False,ib,Company / Business
HPE Holsters Polska,ha holsters polski,False,ha holsters polski,Company / Business
Centrum Zdrowia Dziecka,centrum zdrowie dziecko,False,centrum zdrowie dziecko,Health / Hospitals / Medical
Departamentu Obrony USA,departament obrona usa,False,departament obrona usa,Military / Defense / Security
COVID,covid,False,covid,Other / Unclear
Polska Szkoła Logiki,polski szkoła logika,False,polski szkoła logika,Education (non-university)
Biurze Kryminalnym KGP,biuro kryminalny kiliądd,False,biuro kryminalny kiliądd,Government / Public Administration
Uniwersytecie Łódzkim,uniwersytet łódzki,False,uniwersytet łódzki,Other / Unclear
ACC Advice Board,acc advice board,False,acc advice board,Company / Business
Ministerstwem Spraw Zagranicznych,ministerstwo sprawa zagraniczny,False,ministerstwo sprawa zagraniczny,Government / Public Administration
Wielkiej Rady Zrzeszenia Białorusinów Świata,wielki rada zrzeszenie białorusin świat,False,wielki rada zrzeszenie białorusin świat,Government / Public Administration
Unii Lubelskiej,unia lubelski,False,unia lubelski,International Organization / EU
ESA,esa,False,esa,International Organization / EU
Filharmonia Pomorska,filharmonia pomorska,False,filharmonia pomorska,Cultural Institution / Arts
Orange,orange,False,orange,Company / Business
Wojewódzkiej Rady Rynku Pracy,wojewódzka rada rynek praca,False,wojewódzka rada rynek praca,Government / Public Administration
Dowództwu Komponentu Wojsk Specjalnych,dowództwu komponent wojsko specjalny,False,dowództwu komponent wojsko specjalny,Military / Defense / Security
AromatVertex,aromatvertex,False,aromatvertex,Media / Publishing
CHILTERN,chiltern,False,chiltern,Media / Publishing
Rady,rada,False,rada,Government / Public Administration
Property Technologies Ltd,propert technologies lt_yp_dwownokinoć,True,propert technologies Ltd,Company / Business
Rady Miasta Gdańska,rada miasto gdańska,False,rada miasto gdańska,Government / Public Administration
Cluster of Excellence MERGE,cluster of excellence merge,False,cluster of excellence merge,Government / Public Administration
Klinki,klinki,False,klinki,Other / Unclear
GSM,gieghagt<SOS>a,False,gieghagt<SOS>a,Other / Unclear
Polska Organizacja Turystyczna,polski organizacja turystyczna,False,polski organizacja turystyczna,Government / Public Administration
intoDNA,intodno,False,intodno,Company / Business
IBM,ibm,False,ibm,Company / Business
ELTRAF,eltraf,False,eltraf,Company / Business
JCR,jcięc,False,jcięc,Media / Publishing
AIRSENSE Analytics GmbH,airsense analytics gieb,False,airsense analytics gieb,Company / Business
Riela Polska,riela polski,False,riela polski,Company / Business
BAK,brak,False,brak,Other / Unclear
Radę Ministrów,rada minister,False,rada minister,Government / Public Administration
Litewskie Muzeum Morskie,litewska muzeum morski,False,litewska muzeum morski,Cultural Institution / Arts
Optopol,optopol,False,optopol,Company / Business
Europejskiej Puli Ochrony Ludności,europejski pula ochrona ludność,False,europejski pula ochrona ludność,International Organization / EU
Centralne Biura Śledcze Policji,centralny biuro śledcze policja,False,centralny biuro śledcze policja,Military / Defense / Security
MagTop,magtop,False,magtop,International Organization / EU
Eurovia,eurovia,False,eurovia,Company / Business
NanoAnalytik,nanoanalytik,False,nanoanalytik,Company / Business
IAB,iab,False,iab,NGO / Association / Foundation
Saksońskiej Operze Państwowej,saksoński opera państwowy,False,saksoński opera państwowy,Government / Public Administration
Siłami Zbrojnymi,siła zbrojny,False,siła zbrojny,Military / Defense / Security
Ministerstwa Rozwoju Regionalnego,ministerstwo rozwój regionalny,False,ministerstwo rozwój regionalny,Government / Public Administration
MEDUNIV sp. z o.o.,meduniv sa . z ograniczona_odpowiedzialność .,True,meduniv s.a. z o.o.,Company / Business
Dortmund Fire Brigade,dortmund fire brigade,False,dortmund fire brigade,Military / Defense / Security
Grupa Studnia O.,grupa studnie o .,False,grupa studnie o .,Company / Business
Agencji,agencja,False,agencja,Government / Public Administration
Młodych Socjalistów Europejskich,młody socjalista europejski,False,młody socjalista europejski,International Organization / EU
Ministerstwo Kultury Peru,ministerstwo kultura pero,False,ministerstwo kultura pero,Government / Public Administration
International Federation of Inventors Association,international federation of inventors association,False,international federation of inventors association,NGO / Association / Foundation
ZT UM,złoty um,False,złoty um,Other / Unclear
ProME,prome,False,prome,Other / Unclear
OTC,otc,False,otc,Other / Unclear
Komisję,komisja,False,komisja,Government / Public Administration
GRAN-TECH Sp. z o.o. Sp. k.,gran-tech sa . z ograniczona_odpowiedzialność . sa . kodeks .,True,gran-tech s.a. z o.o. s.a. kodeks .,Company / Business
Filharmonią Częstochowską,filharmonia częstochowska,False,filharmonia częstochowska,Cultural Institution / Arts
Atmoterm SA,atmoterm sa,False,atmoterm sa,Company / Business
Polska Izba Turystyki,polski izba turystyka,False,polski izba turystyka,Government / Public Administration
Wylęgarni,wylęgarni,False,wylęgarni,Other / Unclear
Bakalland SA,bakalland sa,False,bakalland sa,Company / Business
MGśP,mgśp,False,mgśp,Government / Public Administration
SPiDR,spodro,False,spodro,NGO / Association / Foundation
IWNiRZ-PIB,iwnirz - pib,False,iwnirz - pib,Other / Unclear
Fundacji Pomocy Humanitarnej „Redemptoris Missio,fundacja pomoc humanitarny „ redemptoris missio,False,fundacja pomoc humanitarny „ redemptoris missio,NGO / Association / Foundation
Polskiego Towarzystwa Diagnostyki Laboratoryjnej,polski towarzystwo diagnostyka laboratoryjny,False,polski towarzystwo diagnostyka laboratoryjny,NGO / Association / Foundation
Sieci Gospodarczej Regionów Trójmorza,sieć gospodarczy region trójmorz,False,sieć gospodarczy region trójmorz,International Organization / EU
BLP KGP,bo_spyp kiliądd,True,bo_spyp kiliądd,Military / Defense / Security
Urzędzie Miasta Częstochowa,urząd miasto częstochowa,False,urząd miasto częstochowa,Government / Public Administration
DARIAH-PL,dariah - plac,False,dariah - plac,International Organization / EU
Krajowa izba Gospodarki Odpadami,krajowy izba gospodarka odpad,False,krajowy izba gospodarka odpad,Government / Public Administration
"Ministerstwo Rozwoju, Pracy i Technologii","ministerstwo rozwój , praca i technologia",False,"ministerstwo rozwój , praca i technologia",Government / Public Administration
SPOIWO,spoiwo,False,spoiwo,Company / Business
UMW,umw,False,umw,Other / Unclear
BEUC,beuc,False,beuc,International Organization / EU
WEiF,weif,False,weif,Other / Unclear
Giresun Lisesi,giresun lises,False,giresun lises,Education (non-university)
Krajowego Klastra Kluczowego,krajowy klastra kluczowy,False,krajowy klastra kluczowy,Government / Public Administration
Policji,policja,False,policja,Military / Defense / Security
COST,cost,False,cost,International Organization / EU
Tyler Technologies Inc.,tyler technologies inc .,False,tyler technologies inc .,Company / Business
Departament Szkolnictwa Artystycznego i Edukacji Kulturalnej,departament szkolnictwo artystyczny i edukacja kulturalny,False,departament szkolnictwo artystyczny i edukacja kulturalny,Cultural Institution / Arts
SARUAV sp. z o.o.,saruav sa . z ograniczona_odpowiedzialność .,True,saruav s.a. z o.o.,Company / Business
Ministerstwa Funduszy i Polityki Regionalnej,ministerstwo fundusz i polityka regionalny,False,ministerstwo fundusz i polityka regionalny,Government / Public Administration
Ministry of Defence of Finland,ministry of defence of finland,False,ministry of defence of finland,Government / Public Administration
Sejmie,sejm,False,sejm,Government / Public Administration
Służbę Geologiczną Finlandii,służba geologiczna finlandii,False,służba geologiczna finlandii,Government / Public Administration
Państwowa Straż Pożarna,państwowy straż pożarny,False,państwowy straż pożarny,Government / Public Administration
CUS,cus,False,cus,Other / Unclear
METRUM CRYOFLEX,metrum cryoflex,False,metrum cryoflex,Company / Business
Parku,park,False,park,Other / Unclear
Wojewódzkiej Rady Dialogu Społecznego,wojewódzka rada dialog społeczny,False,wojewódzka rada dialog społeczny,Government / Public Administration
IASE sp. z o.o.,iase sa . z ograniczona_odpowiedzialność .,True,iase s.a. z o.o.,Company / Business
Polskiej Agencji Prasowej,polski agencja prasowy,False,polski agencja prasowy,Media / Publishing
SME,sme,False,sme,Other / Unclear
Wataha.no,wataha.no,True,wataha.no,Media / Publishing
Gdańskim Wydawnictwem Psychologicznym,gdański wydawnictwo psychologiczny,False,gdański wydawnictwo psychologiczny,Media / Publishing
Newseria,newseria,False,newseria,Media / Publishing
Polskim Archiwum Danych Społecznych,polski archiwum dane społeczny,False,polski archiwum dane społeczny,Government / Public Administration
WISS Czech,wiss cooch,False,wiss cooch,Company / Business
Urzędów Stanu Cywilnego,urząd stan cywilny,False,urząd stan cywilny,Government / Public Administration
Łuszczycy,łuszczyca,False,łuszczyca,Other / Unclear
SPZOZ,spzoz,False,spzoz,Health / Hospitals / Medical
RWTH Aachen,rwth aachen,False,rwth aachen,Other / Unclear
Newsweek,newsweek,False,newsweek,Media / Publishing
IGICHP,igichp,False,igichp,Other / Unclear
ZF Polpharma S.A.,zf polpharma s.a .,False,zf polpharma s.a.,Company / Business
OSI,oś,False,oś,Other / Unclear
ASEAN,asean,False,asean,International Organization / EU
ADAMEDEM,adamedem,False,adamedem,Company / Business
ORAFOL Group,orafol group,False,orafol group,Company / Business
WSU,wiu,False,wiu,Other / Unclear
IHiT,ihit,False,ihit,Other / Unclear
Centre for Jewish History,centre forówna jewisho history,False,centre forówna jewisho history,Cultural Institution / Arts
Europejski Fundusz Rozwoju Regionalnego,europejski fundusz rozwój regionalny,False,europejski fundusz rozwój regionalny,Government / Public Administration
FlexiOss,flexioss,False,flexioss,Company / Business
Bioscientia,bioscientia,False,bioscientia,Company / Business
EU-IBD,eu - i_tak_dalej,True,eu - i_tak_dalej,International Organization / EU
PB WPSA,pod_tytułem wpsa,True,pod_tytułem wpsa,NGO / Association / Foundation
NFOŚ,nfoś,False,nfoś,Government / Public Administration
Acta Poloniae Historica,acta poloniae historica,False,acta poloniae historica,Other / Unclear
Dyrekcja Generalna Lasów Państwowych,dyrekcja generalna las państwowy,False,dyrekcja generalna las państwowy,Government / Public Administration
Polskie Towarzystwo Ekonomiczne,polski towarzystwo ekonomiczny,False,polski towarzystwo ekonomiczny,NGO / Association / Foundation
Ośrodek Hodowli Zwierząt Zarodowych Sp. z o.o.,ośrodek hodowla zwierzę zarodowy sa . z ograniczona_odpowiedzialność .,True,ośrodek hodowla zwierzę zarodowy s.a. z o.o.,Company / Business
PEC,pec,False,pec,Company / Business
OSP,ostokca,False,ostokca,Government / Public Administration
Radiu Gorzów,radio gorzów,False,radio gorzów,Media / Publishing
KarT sp. z o.o.,karta sa . z ograniczona_odpowiedzialność .,True,karta s.a. z o.o.,Company / Business
Centrum Rehabilitacji Pokowidowej,centrum rehabilitacja pokowidowa,False,centrum rehabilitacja pokowidowa,Health / Hospitals / Medical
